SMILES;CNN_VS;Vina pKi;Target protein
CCOc1ccccc1c1nnc(SCCn2c([N+](=O)[O-])cnc2C)o1;5.8447648;6.466832998;Acetylcholinesterase
Cc1cc(C(=O)NCC(Cc2cccc(F)c2)N2CCCCC2=O)no1;5.821701;7.458747751;Acetylcholinesterase
COc1cc(OC)c2c(OC(=O)c3ccc([N+](=O)[O-])cc3)ccnc2c1;6.005894;7.015311803;Acetylcholinesterase
CSc1ncccc1C(=O)OCC(=O)NCc1ccc2c(c1)OCO2;5.6991522;6.483047667;Acetylcholinesterase
CCOc1ccc2c(c1)c(=O)c(S(=O)(=O)c1ccc(CC)cc1)cn2C;7.013058;7.047741141;Acetylcholinesterase
c1ccc(CCc2nn3c(Cn4cnc5ccccc54)nnc3s2)cc1;6.415424;8.001586671;Acetylcholinesterase
CCOc1nc(C)ccc1C(=O)N1C2CCC1C(COc1ccccn1)C2;7.3815225;7.649093866;Acetylcholinesterase
CO[C@@H]1O[C@H](Cn2cc(COc3ccccc3)nn2)[C@H]2OC(C)(C)O[C@@H]12;5.0109558;6.610650063;Acetylcholinesterase
CCN(CC)S(=O)(=O)c1cccc(c2nc3n(n2)Cc2ccccc2-3)c1;6.79698;8.079135088;Acetylcholinesterase
O=C(NCc1nnc(SCC(=O)N2CCCCCC2)o1)c1ccco1;5.901051;6.447093401;Acetylcholinesterase
O=C(NCc1nnc(SCC(=O)N2CCCC2)o1)c1ccccc1F;5.913645;6.967372781;Acetylcholinesterase
COCCN(C(=O)c1cnccn1)c1nc2c(s1)CCc1c-2cnn1C;3.9186108;5.306426685;Acetylcholinesterase
CCOP(=O)(OCC)SCCCN1C(=O)c2ccccc2C1=O;5.2760603;5.837280849;Acetylcholinesterase
COc1nc(OC)nc(N2CCC(C(=O)NCC3CCCCC3)CC2)n1;6.1698645;6.97230768;Acetylcholinesterase
COC1=CC(=O)C(C[C@H](C)[C@H](C)Cc2cc3c(cc2O)OCO3)=CC1=O;6.256509;7.458747751;Acetylcholinesterase
O=Cc1ccc(OCC(=O)NCC2CCCO2)cc1;4.193679;5.192924001;Acetylcholinesterase
O=C([O-])c1ccc(Oc2ccc3c(c2)B(O)OC3)cc1;5.7549652;#NUM!;Acetylcholinesterase
OCCOCCOc1ccc(C2=NNN=N2)cc1;4.2684768;4.772047592;Acetylcholinesterase
COC1(C[NH+]2CCCCC2)COc2ccccc2O1;3.3501107;#NUM!;Acetylcholinesterase
CCOc1ccc(Cn2cc(F)c(=O)[nH]c2=O)cc1;4.8516524;5.972638086;Acetylcholinesterase
C/C(=N\NC(=O)CC#N)C1COc2ccccc2O1;4.0178597;5.982507884;Acetylcholinesterase
[NH3+][C@@H](Cc1ccc(O)c(c2ccccc2)c1)C(=O)[O-];1.4401075;6.697363293;Acetylcholinesterase
CCOc1ccc(C(=O)NC2=[NH+]CCS2)cc1;4.7257769;5.176709332;Acetylcholinesterase
CCCc1oc(C(=O)[O-])cc1C[NH+]1CCCC1;5.8833885;5.050516908;Acetylcholinesterase
CN(C)C1=[NH+]CCN1CC1CCCCCC1;5.631945;5.207728699;Acetylcholinesterase
C/C(=N\O)C(C)/[N+]([O-])=C/c1nc(C)c(C)n1O;4.4198884;5.394549886;Acetylcholinesterase
Cc1ncc(CO)c(/C=N/NC(N)=S)c1O;3.5797648;4.591571276;Acetylcholinesterase
